Gene_ID,Gene_Name,Condition
ENSG00000255196,OR4A17P,Pre-Transplant
ENSG00000181950,OR4A13P,Pre-Transplant
ENSG00000254728,ANKRD33BP2,Pre-Transplant
ENSG00000134339,SAA2,Pre-Transplant
ENSG00000278870,OR51G1,Pre-Transplant
ENSG00000129159,KCNC1,Pre-Transplant
ENSG00000244734,HBB,Pre-Transplant
ENSG00000149187,CELF1,Pre-Transplant
ENSG00000150244,TRIM48,Pre-Transplant
ENSG00000258588,TRIM6-TRIM34,Pre-Transplant
ENSG00000129152,MYOD1,Pre-Transplant
ENSG00000247151,CSTF3-DT,Pre-Transplant
ENSG00000179826,MRGPRX3,Pre-Transplant
ENSG00000187486,KCNJ11,Pre-Transplant
ENSG00000202276,Y_RNA,Pre-Transplant
ENSG00000203560,OR52J1P,Pre-Transplant
ENSG00000189431,RASSF10,Pre-Transplant
ENSG00000213697,CTBP2P6,Pre-Transplant
ENSG00000277932,OR52E5,Pre-Transplant
ENSG00000255161,SPICP1,Pre-Transplant
ENSG00000166436,TRIM66,Pre-Transplant
ENSG00000228901,HMGN2P36,Pre-Transplant
